,WINDS,CURRENTS,SHIP P,SHIP V,F SAIL,AIR MASS,F SHIP,WATER MASS
37,[2.5 0. ],[1. 0.],"[70.01209050136205, 90.01297742355389]","(0.5243459318641667, 0.6012936142071166)","(0.015302706021271333, 0.014795233891491993)",161.86726927118036,"(-0.012713931352438786, -0.007481658348692248)",44942.81296725352
38,[2.5 0. ],[1. 0.],"[70.01261743606858, 90.01358603074364]","(0.5269347065329992, 0.6086071897499162)","(0.015275230431251063, 0.014713507166094734)",161.84901730230416,"(-0.013009217118822762, -0.007655446119398869)",45470.43732423208
39,[2.5 0. ],[1. 0.],"[70.01314663678842, 90.01420169599443]","(0.5292007198454276, 0.6156652507966122)","(0.015252085162200262, 0.014638690868497511)",161.84965181539496,"(-0.013316386033279533, -0.007836136991314004)",45979.65612770877
40,[2.5 0. ],[1. 0.],"[70.01367777320739, 90.0148241637991]","(0.5311364189743483, 0.6224678046737957)","(0.01523342156385723, 0.014570890083061986)",161.86976731869723,"(-0.013545929522882468, -0.007971481364297225)",46471.74169600421
41,[2.5 0. ],[1. 0.],"[70.0142105971184, 90.0154532310125]","(0.532823911015323, 0.6290672133925604)","(0.01521810720695023, 0.014508443836777622)",161.90445910294056,"(-0.013880419458484214, -0.008168059703620828)",46947.84333287161
42,[2.5 0. ],[1. 0.],"[70.01474475871717, 90.01608863861003]","(0.5341615987637891, 0.6354075975257173)","(0.015207612330143732, 0.014453301194097198)",161.95995120648817,"(-0.013952657441855636, -0.008211506581469656)",47409.10533850037
43,[2.5 0. ],[1. 0.],"[70.01528017527082, 90.01673028800217]","(0.5354165536520773, 0.6416493921383448)","(0.015198171784248987, 0.014400199070986372)",162.02014461062817,"(-0.014522653383322282, -0.008545514702135739)",47856.44456316989
44,[2.5 0. ],[1. 0.],"[70.01581626734287, 90.01737779207868]","(0.536092072053004, 0.6475040765071954)","(0.015196840992548939, 0.014358777259746299)",162.11497685465795,"(-0.014004869355077266, -0.008244355203360433)",48291.02310372756
45,[2.5 0. ],[1. 0.],"[70.01635355138656, 90.01803141057724]","(0.5372840436904757, 0.6536184985635813)","(0.015188121800554882, 0.01430770392587504)",162.1786789017891,"(-0.015762050869906348, -0.009271257330710636)",48713.28391147277
46,[2.5 0. ],[1. 0.],"[70.01689026150117, 90.01869006552239]","(0.5367101146211242, 0.6586549451587457)","(0.01520431367584459, 0.014291174922326736)",162.34782811289583,"(-0.012578414567588014, -0.007412106825080132)",49125.022744003574
47,[2.5 0. ],[1. 0.],"[70.0174295975149, 90.01935559953564]","(0.5393360137293808, 0.6655340132559924)","(0.015175230827889347, 0.014213172952414355)",162.3262518821875,"(-0.020144917020686087, -0.01182561618475054)",49525.079088751016
48,[2.5 0. ],[1. 0.],"[70.01796396384245, 90.02002352110567]","(0.534366327536584, 0.6679215700236562)","(0.015253459903226047, 0.014281892757225832)",162.75620243677918,"(-0.003953889842582843, -0.002340684713301282)",49919.216160383105
49,[2.5 0. ],[1. 0.],"[70.01850962974004, 90.02070338388374]","(0.5456658975972272, 0.6798627780675807)","(0.015102071509625633, 0.014038181012587659)",162.22351959270043,"(-0.040881716435367324, -0.023757478658116223)",50301.15500991118
50,[2.5 0. ],[1. 0.],"[70.01902951599271, 90.02137352736416]","(0.5198862526714855, 0.6701434804220522)","(0.015475265946699993, 0.014507365456404775)",163.88843887809784,"(0.04182465881179701, 0.02532901802572948)",50708.44369682568
51,[2.5 0. ],[1. 0.],"[70.01960670217014, 90.02208350722806]","(0.5771861774299825, 0.7099798639041864)","(0.014680762779087118, 0.01338979034502031)",160.6950742353451,"(-0.15115543136054527, -0.08331370171056648)",51169.38557183711
52,[2.5 0. ],[1. 0.],"[70.02004741367898, 90.0227235631806]","(0.44071150884852434, 0.6400559525386402)","(0.016652955767602888, 0.016006998533216854)",169.06547765420845,"(0.28613558199829153, 0.1942226925041226)",52209.58730397088
53,[2.5 0. ],[1. 0.],"[70.02079091372559, 90.02357384882419]","(0.7435000466144188, 0.8502856435759797)","(0.012562946583621993, 0.010387275831560502)",152.99507240926985,"(-0.88645556200719, -0.36160071988123355)",55811.84943761042
54,[2.5 0. ],[1. 0.],"[70.02066052115678, 90.02407292102372]","(-0.13039256880914918, 0.49907219952630666)","(0.026684449114727466, 0.028744423136780294)",209.90092509840397,"(2.283164458193428, 2.468104199420276)",75268.16849234546
55,[2.5 0. ],[1. 0.],"[70.02283997749528, 90.0270688418458]","(2.179456338499006, 2.995920822083363)",,,"(-5.505782427482282, -1.2766676851661936)",94672.0014059546
56,[2.5 0. ],[1. 0.],"[70.01842392323705, 90.02729013457169]","(-4.416054258232779, 0.22129272587548798)","(0.18243819815387377, 0.23004496843871758)",542.4955597231368,"(54.859071656666195, 87.31860196566832)",329180.149227102
57,[2.5 0. ],[1. 0.],"[70.06904937883364, 90.11506007423166]","(50.62545559658729, 87.76993965998253)",,,"(-10360.196533020237, -150.34683831524922)",3161496.2198212296
58,[2.5 0. ],[1. 0.],"[59.7341655736117, 90.00859820574641]","(-10334.883805221943, -106.46186848525795)","(407466.22563930287, 536720.1746987444)",810493.8685355929,"(-2035880829032.9348, 103629963367.42314)",42057716872.27939
59,[2.5 0. ],[1.1 0. ],"[499, 0]","(-2035880431901.593, 103630499981.13597)","(1.581704683856641e+22, 1.956244145657324e+22)",159819672308217.12,"(-2.979628224852671e+45, 2.1569752179904175e+44)",1.5848827826757468e+27
60,[2.5 0. ],[1.1 0. ],"[499, 0]","(-2.979628224852671e+45, 2.1569752179904175e+44)","(3.3909192507771975e+88, 4.103256110523438e+88)",2.3421414163269537e+47,"(-1.3437587332117097e+178, 1.0450756220925055e+177)",3.3535323157689755e+93
61,[2.5 0. ],[1. 0.],"[499, 0]","(-1.3437587332117097e+178, 1.0450756220925055e+177)","(-inf, inf)",inf,"(nan, nan)",inf
