,WINDS,CURRENTS,SHIP P,SHIP V,F SAIL,F SHIP,NO SAIL
75,[1.7 0. ],[0.1 0. ],"(5.007163686979423, 15.035918651541854)","(0.09659288603737441, 0.8984096172668736)","(0.012530873881074628, 0.010110974719709509)","(-0.01258016556630537, 2.3190662613124352e-05)",
76,[1.7 0. ],[0.1 0. ],"(5.007260230573775, 15.036827195324504)","(0.09654359435214367, 0.9085437826491962)","(0.012548998795494625, 0.010078408294298792)","(-0.0126016824772061, 2.2761106550868942e-05)",
77,[1.7 0. ],[0.1 0. ],"(5.007356721484445, 15.037745840276553)","(0.0964909106704322, 0.9186449520500459)","(0.012567208197137707, 0.010046331083651754)","(-0.012607456782672156, 2.2290642511273767e-05)",
78,[1.7 0. ],[0.1 0. ],"(5.00745317214653, 15.03867455385033)","(0.09645066208489775, 0.9287135737762089)","(0.01258528622641523, 0.010014524876031133)","(-0.012657674026414918, 2.1990680468905674e-05)",
79,[1.7 0. ],[0.1 0. ],"(5.007549550420815, 15.039613303939662)","(0.09637827428489806, 0.938750089332709)","(0.012603830707385692, 0.009983566369087262)","(-0.012581412455576969, 2.127065598107994e-05)",
80,[1.7 0. ],[0.1 0. ],"(5.007645951113352, 15.04056205886602)","(0.09640069253670679, 0.9487549263577774)","(0.01262112810407184, 0.009951781997700943)","(-0.012871068340455418, 2.180059485863574e-05)",
81,[1.7 0. ],[0.1 0. ],"(5.007742101865652, 15.041520787374969)","(0.09615075230032322, 0.958728508950337)","(0.01264212658824306, 0.009923964433740919)","(-0.012087833730802234, 1.883528648601632e-05)",
82,[1.7 0. ],[0.1 0. ],"(5.00783880691081, 15.04248945868364)","(0.09670504515776404, 0.968671308670564)","(0.012652301484847773, 0.009886063914999792)","(-0.014494869870681467, 2.653787288664708e-05)",
83,[1.7 0. ],[0.1 0. ],"(5.007933669387581, 15.043468042594098)","(0.09486247677193035, 0.9785839104584504)","(0.012694856582903305, 0.009879719059324403)","(-0.007286362206212359, 6.572241089402013e-06)",
84,[1.7 0. ],[0.1 0. ],"(5.00803394035873, 15.044456512795858)","(0.1002709711486213, 0.9884702017588641)","(0.012639573185248812, 0.00977978718565223)","(-0.029449930674953353, 0.00010526589837591541)",
85,[1.7 0. ],[0.1 0. ],"(5.008117400972389, 15.045454868050701)","(0.08346061365891676, 0.9983552548428922)","(0.012885010288606228, 0.009968102559239156)","(0.03930235937872027, 0.00018374838609759277)",
86,[1.7 0. ],[0.1 0. ],"(5.008253048955715, 15.04646337515649)","(0.13564798332624325, 1.0085071057882289)","(0.012203017586870745, 0.009271724634746075)","(-0.17718336703620344, 0.00366097890638298)",
87,[1.7 0. ],[0.1 0. ],"(5.008223716589592, 15.04748481496582)","(-0.029332366123089426, 1.021439809329358)","(0.014510249251616852, 0.01141980839965928)","(0.5184072971524382, 0.030162063987398794)",
88,[1.7 0. ],[0.1 0. ],"(5.0087273017698735, 15.048547836647536)","(0.5035851802809655, 1.063021681716416)","(0.007906718648952017, 0.0051934460481690035)","(-1.9164597062244664, 0.3516882673328724)",
89,[1.7 0. ],[0.1 0. ],"(5.007322333962579, 15.049967740042634)","(-1.4049678072945488, 1.4199033950974576)","(0.04253909646111412, 0.03658762961688591)","(12.551931309631424, 5.228648365830541)",
90,[1.7 0. ],[0.1 0. ],"(5.018511836561377, 15.056652879433178)","(11.18950259879799, 6.685139390544884)",,"(-593.0462513302465, 334.87270644891476)","(-0.0001532949901377623, -0.00010966436008111686)"
91,[1.7 0. ],[0.1 0. ],"(4.436654934534938, 15.398210615608278)","(-581.8569020264387, 341.55773617509954)","(1421.0374405907453, 1083.6893335434963)","(-5737046.47374711, 1563418.3337299002)",
